sales_id,date,shop,product category,product name,quantity,price,is_returned
E-20250601-0001,06/01/2025 08:16 AM,Shop E,Clothing,Swimsuit,2,50,False
D-20250601-0002,06/01/2025 08:26 AM,Shop D,Kids,Inflatable Ring,3,15,False
A-20250601-0003,06/01/2025 08:34 AM,Shop A,Footwear,Sandals,2,40,False
E-20250601-0004,06/01/2025 08:36 AM,Shop E,Clothing,Beach Shorts,4,30,False
E-20250601-0005,06/01/2025 08:38 AM,Shop E,Beverages,Bottled Water,2,2,False
A-20250601-0006,06/01/2025 09:04 AM,Shop A,Beverages,Bottled Water,2,2,True
C-20250601-0007,06/01/2025 10:01 AM,Shop C,Skincare,Sunscreen,2,10,False
C-20250601-0008,06/01/2025 10:06 AM,Shop C,Beverages,Bottled Water,1,2,False
D-20250601-0009,06/01/2025 10:10 AM,Shop D,Accessories,Beach Hat,4,15,False
A-20250601-0010,06/01/2025 10:20 AM,Shop A,Accessories,Beach Hat,2,15,False
D-20250601-0011,06/01/2025 10:21 AM,Shop D,Souvenir,Florida Magnet,4,5,False
A-20250601-0012,06/01/2025 10:52 AM,Shop A,Kids,Inflatable Ring,5,15,False
A-20250601-0013,06/01/2025 10:53 AM,Shop A,Skincare,Sunscreen,4,10,False
A-20250601-0014,06/01/2025 10:55 AM,Shop A,Beverages,Bottled Water,1,2,False
C-20250601-0015,06/01/2025 11:35 AM,Shop C,Clothing,Swimsuit,6,50,False
C-20250601-0016,06/01/2025 11:40 AM,Shop C,Accessories,Sunglasses,1,25,False
A-20250601-0017,06/01/2025 12:01 PM,Shop A,Clothing,Swimsuit,3,50,False
A-20250601-0018,06/01/2025 12:06 PM,Shop A,Accessories,Sunglasses,1,25,False
A-20250601-0019,06/01/2025 12:12 PM,Shop A,Clothing,T-Shirt,3,20,False
E-20250601-0020,06/01/2025 12:15 PM,Shop E,Footwear,Sandals,4,40,False
D-20250601-0021,06/01/2025 12:19 PM,Shop D,Accessories,Sunglasses,2,25,False
C-20250601-0022,06/01/2025 12:39 PM,Shop C,Kids,Inflatable Ring,2,15,False
B-20250601-0023,06/01/2025 12:48 PM,Shop B,Clothing,Beach Shorts,2,30,False
C-20250601-0024,06/01/2025 12:51 PM,Shop C,Accessories,Beach Bag,2,35,False
C-20250601-0025,06/01/2025 12:52 PM,Shop C,Accessories,Beach Hat,1,15,False
A-20250601-0026,06/01/2025 12:54 PM,Shop A,Accessories,Sunglasses,4,25,False
C-20250601-0027,06/01/2025 01:06 PM,Shop C,Clothing,Beach Shorts,2,30,False
C-20250601-0028,06/01/2025 01:06 PM,Shop C,Beverages,Bottled Water,4,2,False
A-20250601-0029,06/01/2025 01:34 PM,Shop A,Souvenir,Florida Magnet,5,5,False
D-20250601-0030,06/01/2025 01:37 PM,Shop D,Footwear,Sandals,4,40,False
A-20250601-0031,06/01/2025 01:45 PM,Shop A,Accessories,Beach Bag,9,35,False
C-20250601-0032,06/01/2025 01:50 PM,Shop C,Accessories,Sunglasses,3,25,False
C-20250601-0033,06/01/2025 01:58 PM,Shop C,Accessories,Beach Hat,2,15,False
E-20250601-0034,06/01/2025 02:25 PM,Shop E,Kids,Inflatable Ring,1,15,False
D-20250601-0035,06/01/2025 02:36 PM,Shop D,Skincare,Sunscreen,11,10,False
C-20250601-0036,06/01/2025 02:55 PM,Shop C,Souvenir,Florida Magnet,3,5,False
D-20250601-0037,06/01/2025 02:59 PM,Shop D,Accessories,Beach Bag,7,35,False
